0,0,0.0263672,0.0625
0.0625,0,0.078125,0.0625
0.125,0,0.140625,0.0625
0.1875,0,0.203125,0.0625
0.25,0,0.265625,0.0625
0.3125,0,0.328125,0.0625
0.375,0,0.390625,0.0625
0.4375,0,0.453125,0.0625
0.5,0,0.5,0.0625
0.5625,0,0.575195,0.0625
0.625,0,0.639648,0.0625
0.6875,0,0.703125,0.0625
0.75,0,0.765625,0.0625
0.8125,0,0.825195,0.0625
0.875,0,0.890625,0.0625
0.9375,0,0.953125,0.0625
0,0.0625,0.015625,0.125
0.0625,0.0625,0.078125,0.125
0.125,0.0625,0.140625,0.125
0.1875,0.0625,0.203125,0.125
0.25,0.0625,0.265625,0.125
0.3125,0.0625,0.328125,0.125
0.375,0.0625,0.390625,0.125
0.4375,0.0625,0.453125,0.125
0.5,0.0625,0.515625,0.125
0.5625,0.0625,0.578125,0.125
0.625,0.0625,0.640625,0.125
0.6875,0.0625,0.703125,0.125
0.75,0.0625,0.765625,0.125
0.8125,0.0625,0.8125,0.125
0.875,0.0625,0.890625,0.125
0.9375,0.0625,0.953125,0.125
0,0.125,0.0126953,0.1875
0.0625,0.125,0.0742188,0.1875
0.125,0.125,0.142578,0.1875
0.1875,0.125,0.213867,0.1875
0.25,0.125,0.276367,0.1875
0.3125,0.125,0.354492,0.1875
0.375,0.125,0.40332,0.1875
0.4375,0.125,0.450195,0.1875
0.5,0.125,0.511719,0.1875
0.5625,0.125,0.574219,0.1875
0.625,0.125,0.641602,0.1875
0.6875,0.125,0.71582,0.1875
0.75,0.125,0.762695,0.1875
0.8125,0.125,0.830078,0.1875
0.875,0.125,0.887695,0.1875
0.9375,0.125,0.953125,0.1875
0,0.1875,0.0263672,0.25
0.0625,0.1875,0.0888672,0.25
0.125,0.1875,0.151367,0.25
0.1875,0.1875,0.213867,0.25
0.25,0.1875,0.276367,0.25
0.3125,0.1875,0.338867,0.25
0.375,0.1875,0.401367,0.25
0.4375,0.1875,0.463867,0.25
0.5,0.1875,0.526367,0.25
0.5625,0.1875,0.588867,0.25
0.625,0.1875,0.637695,0.25
0.6875,0.1875,0.700195,0.25
0.75,0.1875,0.77832,0.25
0.8125,0.1875,0.84082,0.25
0.875,0.1875,0.90332,0.25
0.9375,0.1875,0.962891,0.25
0,0.25,0.0371094,0.3125
0.0625,0.25,0.0917969,0.3125
0.125,0.25,0.15625,0.3125
0.1875,0.25,0.220703,0.3125
0.25,0.25,0.282227,0.3125
0.3125,0.25,0.339844,0.3125
0.375,0.25,0.400391,0.3125
0.4375,0.25,0.472656,0.3125
0.5,0.25,0.533203,0.3125
0.5625,0.25,0.573242,0.3125
0.625,0.25,0.648438,0.3125
0.6875,0.25,0.717773,0.3125
0.75,0.25,0.775391,0.3125
0.8125,0.25,0.851562,0.3125
0.875,0.25,0.908203,0.3125
0.9375,0.25,0.972656,0.3125
0,0.3125,0.0292969,0.375
0.0625,0.3125,0.0976562,0.375
0.125,0.3125,0.15625,0.375
0.1875,0.3125,0.216797,0.375
0.25,0.3125,0.276367,0.375
0.3125,0.3125,0.344727,0.375
0.375,0.3125,0.402344,0.375
0.4375,0.3125,0.480469,0.375
0.5,0.3125,0.527344,0.375
0.5625,0.3125,0.59082,0.375
0.625,0.3125,0.652344,0.375
0.6875,0.3125,0.699219,0.375
0.75,0.3125,0.765625,0.375
0.8125,0.3125,0.824219,0.375
0.875,0.3125,0.90332,0.375
0.9375,0.3125,0.960938,0.375
0,0.375,0.00878906,0.4375
0.0625,0.375,0.0869141,0.4375
0.125,0.375,0.152344,0.4375
0.1875,0.375,0.211914,0.4375
0.25,0.375,0.277344,0.4375
0.3125,0.375,0.336914,0.4375
0.375,0.375,0.386719,0.4375
0.4375,0.375,0.463867,0.4375
0.5,0.375,0.525391,0.4375
0.5625,0.375,0.571289,0.4375
0.625,0.375,0.633789,0.4375
0.6875,0.375,0.710938,0.4375
0.75,0.375,0.758789,0.4375
0.8125,0.375,0.851562,0.4375
0.875,0.375,0.900391,0.4375
0.9375,0.375,0.963867,0.4375
0,0.4375,0.0273438,0.5
0.0625,0.4375,0.0898438,0.5
0.125,0.4375,0.139648,0.5
0.1875,0.4375,0.209961,0.5
0.25,0.4375,0.263672,0.5
0.3125,0.4375,0.337891,0.5
0.375,0.4375,0.396484,0.5
0.4375,0.4375,0.472656,0.5
0.5,0.4375,0.522461,0.5
0.5625,0.4375,0.583984,0.5
0.625,0.4375,0.646484,0.5
0.6875,0.4375,0.703125,0.5
0.75,0.4375,0.760742,0.5
0.8125,0.4375,0.828125,0.5
0.875,0.4375,0.90332,0.5
0.9375,0.4375,0.956055,0.5
0,0.5,0.0537109,0.5625
0.0625,0.5,0.0810547,0.5625
0.125,0.5,0.145508,0.5625
0.1875,0.5,0.241211,0.5625
0.25,0.5,0.294922,0.5625
0.3125,0.5,0.366211,0.5625
0.375,0.5,0.428711,0.5625
0.4375,0.5,0.491211,0.5625
0.5,0.5,0.553711,0.5625
0.5625,0.5,0.616211,0.5625
0.625,0.5,0.678711,0.5625
0.6875,0.5,0.741211,0.5625
0.75,0.5,0.803711,0.5625
0.8125,0.5,0.866211,0.5625
0.875,0.5,0.928711,0.5625
0.9375,0.5,0.991211,0.5625
0,0.5625,0.0537109,0.625
0.0625,0.5625,0.116211,0.625
0.125,0.5625,0.178711,0.625
0.1875,0.5625,0.241211,0.625
0.25,0.5625,0.303711,0.625
0.3125,0.5625,0.366211,0.625
0.375,0.5625,0.428711,0.625
0.4375,0.5625,0.491211,0.625
0.5,0.5625,0.553711,0.625
